rental_id,car_id,checkin_type,state,delay,previous_id,time_delta,previous_delay
530724,397728,mobile,ended,5.0,572331.0,270.0,49.0
521969,354493,mobile,ended,-54.0,518353.0,210.0,17.0
531952,338940,mobile,ended,320.0,542671.0,0.0,6.0
535690,313432,mobile,ended,84.0,539109.0,60.0,58.0
535914,265239,connect,ended,44.0,538830.0,120.0,34.0
537518,350149,mobile,ended,267.0,538529.0,60.0,86.0
553294,394380,mobile,ended,-113.0,540105.0,720.0,8.0
554062,394024,mobile,ended,-48.0,562173.0,0.0,73.0
554280,401475,connect,ended,39.0,553682.0,450.0,37.0
543277,265239,connect,ended,-63.0,535914.0,360.0,44.0
544819,401470,mobile,ended,39.0,543823.0,570.0,612.0
559963,331900,mobile,ended,66.0,559063.0,30.0,63.0
560548,351024,mobile,ended,6.0,508535.0,90.0,102.0
569053,393982,mobile,ended,129.0,563562.0,630.0,21.0
569211,348551,mobile,ended,115.0,558223.0,330.0,251.0
569313,367919,connect,ended,384.0,545720.0,0.0,8.0
570922,365926,connect,ended,-47.0,573294.0,510.0,9.0
572859,404128,connect,ended,725.0,571634.0,180.0,12.0
573135,396755,mobile,canceled,,547901.0,90.0,1.0
506161,369881,connect,ended,6.0,549345.0,30.0,22.0
521258,371933,mobile,ended,-197.0,555541.0,180.0,19.0
526536,384479,mobile,ended,-17.0,538761.0,690.0,98.0
562717,402083,connect,ended,493.0,561928.0,360.0,154.0
548050,300505,connect,ended,-538.0,541486.0,0.0,12.0
548388,297511,mobile,ended,160.0,546459.0,420.0,12968.0
548718,399575,connect,ended,73.0,558387.0,630.0,81.0
549001,394380,mobile,canceled,,545839.0,660.0,28.0
549270,405622,mobile,ended,21.0,549855.0,450.0,24.0
550250,403153,mobile,ended,-102.0,547495.0,630.0,393.0
550392,288953,mobile,ended,-23.0,547476.0,150.0,2.0
550830,374298,connect,ended,-200.0,550317.0,90.0,11.0
563387,366164,connect,ended,-146.0,536892.0,360.0,17.0
563572,264457,mobile,ended,92.0,566229.0,240.0,242.0
563721,413181,mobile,ended,2.0,560542.0,150.0,4.0
564819,394928,connect,ended,-126.0,567186.0,540.0,2.0
567968,223850,mobile,ended,-6.0,561253.0,210.0,83.0
568105,351546,connect,canceled,,564144.0,120.0,210.0
570039,363377,mobile,ended,17.0,562077.0,180.0,100.0
522151,259952,mobile,ended,-97.0,550409.0,0.0,26.0
527468,216148,connect,ended,-143.0,542805.0,690.0,77.0
538584,406994,mobile,ended,9.0,533472.0,330.0,108.0
532113,365926,connect,canceled,,537243.0,300.0,242.0
572248,195977,connect,canceled,,569301.0,180.0,62.0
537598,338935,mobile,ended,188.0,537023.0,60.0,78.0
540722,321069,mobile,ended,224.0,512562.0,360.0,104.0
538160,216701,mobile,ended,-21.0,524146.0,90.0,155.0
540583,194340,connect,ended,-133.0,541969.0,30.0,43.0
540952,389785,connect,ended,-295.0,527270.0,540.0,3.0
544376,373233,mobile,ended,121.0,544861.0,60.0,17.0
566060,394656,connect,ended,5.0,564793.0,240.0,54.0
552250,409539,mobile,ended,100.0,560505.0,600.0,6.0
552544,341648,mobile,ended,-545.0,557072.0,330.0,13.0
553553,408883,mobile,ended,8.0,564585.0,0.0,17.0
538211,280805,connect,ended,-195.0,530261.0,60.0,28.0
539300,351319,mobile,ended,-77.0,535020.0,0.0,28.0
543115,381914,mobile,ended,7.0,541395.0,300.0,61.0
543401,215979,mobile,ended,13.0,542150.0,210.0,12.0
543559,392241,connect,ended,42.0,538768.0,120.0,271.0
544566,355444,connect,ended,-39.0,541239.0,150.0,33.0
545207,407411,mobile,ended,-89.0,532724.0,570.0,16.0
546561,346755,connect,canceled,,569802.0,270.0,92.0
546930,316449,mobile,canceled,,551866.0,0.0,153.0
547130,411325,mobile,ended,22.0,545629.0,0.0,81.0
547311,374809,connect,ended,7.0,539330.0,90.0,20.0
548957,382444,mobile,canceled,,541126.0,240.0,72.0
550277,375128,connect,ended,-28.0,549044.0,240.0,41.0
551160,383949,mobile,ended,-52.0,545467.0,90.0,50.0
543788,377071,mobile,ended,0.0,538874.0,30.0,2.0
