threshold,type,percent_total
0,all cars,0.0
30,all cars,30.18867924528302
60,all cars,51.886792452830186
90,all cars,66.0377358490566
120,all cars,69.81132075471697
150,all cars,75.47169811320755
180,all cars,79.24528301886792
210,all cars,81.13207547169812
240,all cars,83.9622641509434
270,all cars,88.67924528301887
300,all cars,89.62264150943396
330,all cars,89.62264150943396
360,all cars,90.56603773584906
390,all cars,90.56603773584906
420,all cars,92.45283018867924
0,connect cars,0.0
30,connect cars,11.320754716981133
60,connect cars,25.471698113207548
90,connect cars,31.132075471698112
120,connect cars,34.90566037735849
150,connect cars,38.67924528301887
180,connect cars,41.509433962264154
210,connect cars,41.509433962264154
240,connect cars,43.39622641509434
270,connect cars,47.16981132075472
300,connect cars,47.16981132075472
330,connect cars,47.16981132075472
360,connect cars,48.113207547169814
390,connect cars,48.113207547169814
420,connect cars,49.056603773584904
