threshold,type,percent_total
0,all cars,0.0
30,all cars,1.1458972784939636
60,all cars,1.6983834663392674
90,all cars,2.4043380396971554
120,all cars,2.7726621649273584
150,all cars,3.3711888684264375
180,all cars,3.6525475751995087
210,all cars,4.005524861878453
240,all cars,4.179455698792715
270,all cars,4.460814405565787
300,all cars,4.61939840392879
330,all cars,4.783098015142214
360,all cars,4.890525885001023
390,all cars,5.049109883364027
420,all cars,5.105381624718641
0,connect cars,0.0
30,connect cars,0.5320237364436259
60,connect cars,0.7622263147125026
90,connect cars,1.0691630857376713
120,connect cars,1.2226314712502557
150,connect cars,1.4426028238182933
180,connect cars,1.544915080826683
210,connect cars,1.7086146920401064
240,connect cars,1.790464497646818
270,connect cars,1.9285860446081442
300,connect cars,1.9746265602619193
330,connect cars,2.020667075915695
360,connect cars,2.06670759156947
390,connect cars,2.1280949457745035
420,connect cars,2.1536730100266013
