threshold,type,percent_total
0,all cars,4.363617761407816
30,all cars,2.5168815224063845
60,all cars,1.6881522406384284
90,all cars,1.0845099242889298
120,all cars,0.7826887661141806
150,all cars,0.5780642520974013
180,all cars,0.45528954368733376
210,all cars,0.38367096378146104
240,all cars,0.35809289952936363
270,all cars,0.2608962553713935
300,all cars,0.21997135256803768
330,all cars,0.1841620626151013
360,all cars,0.16881522406384286
390,all cars,0.16881522406384286
420,all cars,0.14835277266216493
0,connect cars,1.5244526294250051
30,connect cars,0.8440761203192142
60,connect cars,0.5269081235932065
90,connect cars,0.3529772866789441
120,connect cars,0.24043380396971556
150,connect cars,0.17904644976468181
180,connect cars,0.11765909555964806
210,connect cars,0.09719664415797014
240,connect cars,0.08184980560671168
270,connect cars,0.04092490280335584
300,connect cars,0.03580928995293636
330,connect cars,0.03580928995293636
360,connect cars,0.025578064252097403
390,connect cars,0.025578064252097403
420,connect cars,0.02046245140167792
